time,annotation
00:09:07.536000,"Picked up SM_Plate_Blueprint7
"
00:09:14.201000,"Picked up BP_FD_Rice_Fried_C_2147482489
"
00:09:26.793000,"Picked up BP_FD_Chicken_Cajun_C_2147482485
"
00:09:29.770000,"Dropped BP_FD_Chicken_Cajun_C_2147482485
"
00:09:29.992000,"Placed BP_FD_Chicken_Cajun_C_2147482485 onto plate SM_Plate_Blueprint7
"
00:09:31.258000,"Picked up BP_FD_Beef_Braised_C_2147482483
"
00:09:33.481000,"Dropped BP_FD_Beef_Braised_C_2147482483
"
00:09:33.724000,"Placed BP_FD_Beef_Braised_C_2147482483 onto plate SM_Plate_Blueprint7
"
00:09:37.945000,"Picked up SM_FD_Pizza_Cheese_Piece04
"
00:09:39.900000,"Dropped SM_FD_Pizza_Cheese_Piece04
"
00:09:40.077000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint7
"
00:09:16.889000,"Placed BP_FD_Rice_Fried_C_2147482489 onto plate SM_Plate_Blueprint7
"
00:09:17.190000,"Dropped BP_FD_Rice_Fried_C_2147482489
"
00:09:48.206000,"Picked up SM_FD_Breadstick_10
"
00:09:49.695000,"Dropped SM_FD_Breadstick_10
"
00:09:54.159000,"Picked up BP_FD_Fries_SweetPotato_C_2147482481
"
00:09:55.537000,"Dropped BP_FD_Fries_SweetPotato_C_2147482481
"
00:09:59.226000,"Picked up SM_FD_DinnerRoll_White_4
"
00:10:00.268000,"Placed SM_FD_Breadstick_10 onto plate SM_Plate_Blueprint7
"
00:10:01.001000,"Dropped SM_FD_DinnerRoll_White_4
"
00:10:09.043000,"Dropped SM_Plate_Blueprint7
"
00:10:09.354000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:09.720000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:09.798000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:09.998000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:10.221000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:10.421000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:09:20.042000,"Picked up BP_FD_GreenBeans_C_2147482487
"
00:09:21.796000,"Dropped BP_FD_GreenBeans_C_2147482487
"
00:09:22.019000,"Placed BP_FD_GreenBeans_C_2147482487 onto plate SM_Plate_Blueprint7
"
00:10:14.528000,"Picked up SM_Plate_Blueprint8
"
00:10:25.282000,"Picked up SM_FD_LemonSquare_7
"
00:10:26.769000,"Placed SM_FD_LemonSquare_7 onto plate SM_Plate_Blueprint8
"
00:10:26.870000,"Dropped SM_FD_LemonSquare_7
"
00:10:27.948000,"Picked up SM_FD_Apple_Slice_34
"
00:10:29.146000,"Dropped SM_FD_Apple_Slice_34
"
00:10:29.368000,"Placed SM_FD_Apple_Slice_34 onto plate SM_Plate_Blueprint8
"
00:10:30.302000,"Picked up SM_FD_Apple_Slice_8
"
00:10:31.411000,"Dropped SM_FD_Apple_Slice_8
"
00:10:32.530000,"Placed SM_FD_Apple_Slice_8 onto plate SM_Plate_Blueprint8
"
00:10:35.098000,"Picked up SM_FD_Strawberry8
"
00:10:36.275000,"Dropped SM_FD_Strawberry8
"
00:10:36.497000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:10:37.696000,"Picked up SM_FD_Strawberry3
"
00:10:38.696000,"Dropped SM_FD_Strawberry3
"
00:10:38.897000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:10:43.494000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:43.716000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:43.961000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:44.182000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:44.336000,"Dropped SM_Plate_Blueprint8
"
00:10:44.780000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:44.783000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:57.687000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:11:12.924000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:11:12.969000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:11:13.147000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:11:13.368000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:10:21.703000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:10:22.771000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:10:22.994000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
