time,annotation
00:08:40.430000,"Picked up SM_Plate_Blueprint8
"
00:08:46.650000,"Picked up BP_FD_Rice_Brown_C_2147482549
"
00:08:50.449000,"Dropped BP_FD_Rice_Brown_C_2147482549
"
00:08:50.693000,"Placed BP_FD_Rice_Brown_C_2147482549 onto plate SM_Plate_Blueprint8
"
00:08:56.446000,"Picked up BP_FD_Chicken_Cajun_C_2147482547
"
00:08:58.466000,"Dropped BP_FD_Chicken_Cajun_C_2147482547
"
00:08:58.711000,"Placed BP_FD_Chicken_Cajun_C_2147482547 onto plate SM_Plate_Blueprint8
"
00:09:31.407000,"Picked up BP_FD_Pasta_White_C_2147482545
"
00:09:34.184000,"Dropped BP_FD_Pasta_White_C_2147482545
"
00:09:34.452000,"Placed BP_FD_Pasta_White_C_2147482545 onto plate SM_Plate_Blueprint8
"
00:09:36.967000,"Picked up BP_FD_Sauce_Marinara_C_2147482543
"
00:09:38.538000,"Dropped BP_FD_Sauce_Marinara_C_2147482543
"
00:09:38.826000,"Placed BP_FD_Sauce_Marinara_C_2147482543 onto plate SM_Plate_Blueprint8
"
00:09:47.556000,"Dropped SM_Plate_Blueprint8
"
00:09:50.863000,"Picked up SM_Plate_Blueprint7
"
00:09:56.622000,"Picked up SM_FD_Grapes_14
"
00:09:59.221000,"Dropped SM_FD_Grapes_14
"
00:09:59.421000,"Placed SM_FD_Grapes_14 onto plate SM_Plate_Blueprint7
"
00:10:00.421000,"Picked up SM_FD_Grapes_01_2
"
00:10:01.686000,"Dropped SM_FD_Grapes_01_2
"
00:10:02.707000,"Picked up SM_FD_Grapes_15
"
00:10:03.819000,"Dropped SM_FD_Grapes_15
"
00:10:03.864000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint7
"
00:10:04.597000,"Placed SM_FD_Grapes_01_2 onto plate SM_Plate_Blueprint7
"
00:10:05.419000,"Picked up SM_FD_Strawberry4
"
00:10:07.017000,"Dropped SM_FD_Strawberry4
"
00:10:07.238000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint7
"
00:10:07.861000,"Picked up SM_FD_Strawberry8
"
00:10:08.794000,"Dropped SM_FD_Strawberry8
"
00:10:18.188000,"Picked up SM_FD_Cookies_ChocChip_01_2
"
00:10:19.543000,"Dropped SM_FD_Cookies_ChocChip_01_2
"
00:10:19.787000,"Placed SM_FD_Cookies_ChocChip_01_2 onto plate SM_Plate_Blueprint7
"
00:10:21.607000,"Picked up SM_FD_Cookies_ChocChip_4
"
00:10:22.697000,"Dropped SM_FD_Cookies_ChocChip_4
"
00:10:26.695000,"Dropped SM_Plate_Blueprint7
"
00:10:35.934000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:10:10.348000,"Picked up SM_FD_Strawberry6
"
00:10:54.607000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:10:12.191000,"Dropped SM_FD_Strawberry6
"
00:10:12.437000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint7
"
00:10:14.597000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint7
"
