time,annotation
00:07:46.898000,"Picked up SM_Plate_Blueprint9
"
00:07:49.386000,"Picked up BP_FD_Potatoes_Mashed_C_2147482435
"
00:07:52.274000,"Dropped BP_FD_Potatoes_Mashed_C_2147482435
"
00:07:52.541000,"Placed BP_FD_Potatoes_Mashed_C_2147482435 onto plate SM_Plate_Blueprint9
"
00:07:55.695000,"Picked up BP_FD_Beef_Braised_C_2147482433
"
00:08:00.605000,"Dropped BP_FD_Beef_Braised_C_2147482433
"
00:08:00.872000,"Placed BP_FD_Beef_Braised_C_2147482433 onto plate SM_Plate_Blueprint9
"
00:08:10.534000,"Picked up BP_FD_Carrots_Roasted_C_2147482431
"
00:08:12.343000,"Dropped BP_FD_Carrots_Roasted_C_2147482431
"
00:08:12.587000,"Placed BP_FD_Carrots_Roasted_C_2147482431 onto plate SM_Plate_Blueprint9
"
00:08:13.809000,"Picked up BP_FD_GreenBeans_C_2147482429
"
00:08:15.365000,"Dropped BP_FD_GreenBeans_C_2147482429
"
00:08:15.674000,"Placed BP_FD_GreenBeans_C_2147482429 onto plate SM_Plate_Blueprint9
"
00:08:19.962000,"Dropped SM_Plate_Blueprint9
"
00:08:23.780000,"Picked up SM_BwlSm_Blueprint2
"
00:08:39.069000,"Dropped SM_BwlSm_Blueprint2
"
00:08:39.069000,"Picked up SM_BwlSm_Blueprint2
"
00:08:45.263000,"Dropped SM_BwlSm_Blueprint2
"
00:08:49.480000,"Picked up SM_BwlSm_Blueprint3
"
00:08:59.322000,"Dropped SM_BwlSm_Blueprint3
"
00:09:11.309000,"Picked up SM_FD_DinnerRoll_White_4
"
00:09:12.373000,"Dropped SM_FD_DinnerRoll_White_4
"
00:09:12.598000,"Placed SM_FD_DinnerRoll_White_4 onto plate SM_Plate_Blueprint5
"
00:09:18.795000,"Picked up SM_FD_Strawberry4
"
00:09:19.284000,"Dropped SM_FD_Strawberry4
"
00:09:19.486000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint5
"
00:09:19.817000,"Picked up SM_FD_Strawberry5
"
00:09:20.745000,"Dropped SM_FD_Strawberry5
"
00:09:20.987000,"Placed SM_FD_Strawberry5 onto plate SM_Plate_Blueprint5
"
00:09:21.228000,"Picked up SM_FD_Strawberry6
"
00:09:21.827000,"Dropped SM_FD_Strawberry6
"
00:09:22.027000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint5
"
00:09:25.026000,"Picked up SM_FD_Apple_Slice_8
"
00:09:25.737000,"Dropped SM_FD_Apple_Slice_8
"
00:09:25.960000,"Placed SM_FD_Apple_Slice_8 onto plate SM_Plate_Blueprint5
"
00:09:26.249000,"Picked up SM_FD_Apple_Slice_34
"
00:09:26.983000,"Dropped SM_FD_Apple_Slice_34
"
00:09:27.230000,"Placed SM_FD_Apple_Slice_34 onto plate SM_Plate_Blueprint5
"
00:09:27.625000,"Picked up SM_FD_Apple_Slice_6
"
00:09:28.381000,"Dropped SM_FD_Apple_Slice_6
"
00:09:30.913000,"Picked up SM_FD_LemonSquare_8
"
00:09:32.002000,"Dropped SM_FD_LemonSquare_8
"
00:09:32.247000,"Placed SM_FD_LemonSquare_8 onto plate SM_Plate_Blueprint5
"
00:09:35.018000,"Dropped SM_Plate_Blueprint5
"
00:09:07.386000,"Picked up SM_Plate_Blueprint5
"
00:10:01.894000,"Picked up BP_FD_Beef_Braised_C_2147482433 from plate
"
00:10:02.095000,"Placed BP_FD_Beef_Braised_C_2147482433 onto plate SM_Plate_Blueprint9
"
00:10:11.601000,"Picked up BP_FD_Beef_Braised_C_2147482425
"
00:10:13.510000,"Dropped BP_FD_Beef_Braised_C_2147482425
"
00:10:16.449000,"Placed BP_FD_Beef_Braised_C_2147482425 onto plate SM_Plate_Blueprint9
"
00:10:02.717000,"Dropped BP_FD_Beef_Braised_C_2147482433
"
