time,annotation
00:09:14.083000,"Picked up SM_Plate_Blueprint11_10
"
00:09:20.373000,"Picked up SM_FD_Grapes_06
"
00:09:25.193000,"Dropped SM_FD_Grapes_06
"
00:09:25.393000,"Placed SM_FD_Grapes_06 onto plate SM_Plate_Blueprint11_10
"
00:09:27.477000,"Picked up SM_FD_Strawberry4
"
00:09:32.956000,"Dropped SM_FD_Strawberry4
"
00:09:33.133000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint11_10
"
00:09:34.432000,"Picked up SM_FD_Strawberry5
"
00:09:35.277000,"Dropped SM_FD_Strawberry5
"
00:09:35.589000,"Picked up SM_FD_Strawberry5
"
00:09:37.388000,"Dropped SM_FD_Strawberry5
"
00:09:37.608000,"Placed SM_FD_Strawberry5 onto plate SM_Plate_Blueprint11_10
"
00:09:52.066000,"Picked up BP_FD_Pasta_White_C_2147482383
"
00:10:02.282000,"Dropped BP_FD_Sauce_Marinara_C_2147482381
"
00:10:02.527000,"Placed BP_FD_Sauce_Marinara_C_2147482381 onto plate SM_Plate_Blueprint11_10
"
00:10:15.320000,"Picked up BP_FD_Carrots_Roasted_C_2147482379
"
00:10:19.408000,"Dropped BP_FD_Carrots_Roasted_C_2147482379
"
00:10:19.589000,"Placed BP_FD_Carrots_Roasted_C_2147482379 onto plate SM_Plate_Blueprint11_10
"
00:10:24.071000,"Picked up BP_FD_Rice_Brown_C_2147482377
"
00:10:27.516000,"Dropped BP_FD_Rice_Brown_C_2147482377
"
00:10:27.828000,"Placed BP_FD_Rice_Brown_C_2147482377 onto plate SM_Plate_Blueprint11_10
"
00:10:29.292000,"Picked up BP_FD_Rice_Brown_C_2147482375
"
00:10:30.936000,"Dropped BP_FD_Rice_Brown_C_2147482375
"
00:10:31.297000,"Placed BP_FD_Rice_Brown_C_2147482375 onto plate SM_Plate_Blueprint11_10
"
00:10:37.394000,"Picked up SM_FD_Grapes_14
"
00:10:39.325000,"Dropped SM_FD_Grapes_14
"
00:09:55.907000,"Dropped BP_FD_Pasta_White_C_2147482383
"
00:09:56.085000,"Placed BP_FD_Pasta_White_C_2147482383 onto plate SM_Plate_Blueprint11_10
"
00:09:58.995000,"Picked up BP_FD_Sauce_Marinara_C_2147482381
"
00:11:17.225000,"Dropped SM_BwlSm_Blueprint2
"
00:11:29.575000,"Picked up SM_BeverageCup_Blueprint_59
"
00:10:55.171000,"Dropped SM_Plate_Blueprint11_10
"
00:11:49.378000,"Dropped SM_BeverageCup_Blueprint_59
"
00:10:59.835000,"Picked up SM_BwlSm_Blueprint2
"
00:14:46.224000,"Picked up SM_Plate_Blueprint11_10
"
00:14:50.129000,"Picked up BP_FD_Chicken_Cajun_C_2147482157
"
00:15:02.990000,"Picked up BP_FD_Rice_White_C_2147482155
"
00:15:07.963000,"Dropped BP_FD_Rice_White_C_2147482155
"
00:15:08.163000,"Placed BP_FD_Rice_White_C_2147482155 onto plate SM_Plate_Blueprint11_10
"
00:15:13.139000,"Picked up BP_FD_Carrots_Roasted_C_2147482153
"
00:15:19.519000,"Dropped BP_FD_Carrots_Roasted_C_2147482153
"
00:15:19.848000,"Placed BP_FD_Carrots_Roasted_C_2147482153 onto plate SM_Plate_Blueprint11_10
"
00:14:55.326000,"Dropped BP_FD_Chicken_Cajun_C_2147482157
"
00:14:55.526000,"Placed BP_FD_Chicken_Cajun_C_2147482157 onto plate SM_Plate_Blueprint11_10
"
00:15:37.261000,"Picked up BP_FD_Pasta_WholeGrain_C_2147482151
"
00:15:41.341000,"Dropped BP_FD_Pasta_WholeGrain_C_2147482151
"
00:15:41.516000,"Placed BP_FD_Pasta_WholeGrain_C_2147482151 onto plate SM_Plate_Blueprint11_10
"
00:15:46.592000,"Picked up BP_FD_Sauce_LoCal_C_2147482149
"
00:15:51.614000,"Dropped BP_FD_Sauce_LoCal_C_2147482149
"
00:15:51.856000,"Placed BP_FD_Sauce_LoCal_C_2147482149 onto plate SM_Plate_Blueprint11_10
"
00:16:04.912000,"Picked up SM_FD_Strawberry4
"
00:16:07.353000,"Dropped SM_FD_Strawberry4
"
00:16:07.532000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint11_10
"
00:16:08.910000,"Picked up SM_FD_Strawberry5
"
00:16:10.541000,"Dropped SM_FD_Strawberry5
"
00:16:11.328000,"Placed SM_FD_Strawberry5 onto plate SM_Plate_Blueprint11_10
"
00:16:11.630000,"Picked up SM_FD_Strawberry6
"
00:16:13.072000,"Dropped SM_FD_Strawberry6
"
