time,annotation
00:09:39.318000,"Picked up BP_FD_GreenBeans_C_2147482338
"
00:09:47.204000,"Dropped BP_FD_GreenBeans_C_2147482338
"
00:09:47.426000,"Placed BP_FD_GreenBeans_C_2147482338 onto plate SM_Plate_Blueprint8
"
00:09:51.314000,"Picked up BP_FD_Carrots_Roasted_C_2147482336
"
00:09:57.756000,"Dropped BP_FD_Carrots_Roasted_C_2147482336
"
00:09:57.955000,"Placed BP_FD_Carrots_Roasted_C_2147482336 onto plate SM_Plate_Blueprint8
"
00:10:05.684000,"Picked up BP_FD_SalmonGrilled_C_2147482334
"
00:10:19.267000,"Dropped BP_FD_SalmonGrilled_C_2147482334
"
00:10:19.512000,"Placed BP_FD_SalmonGrilled_C_2147482334 onto plate SM_Plate_Blueprint8
"
00:10:20.778000,"Picked up BP_FD_SalmonGrilled_C_2147482332
"
00:09:32.022000,"Picked up SM_Plate_Blueprint8
"
00:10:26.130000,"Dropped BP_FD_SalmonGrilled_C_2147482332
"
00:10:26.331000,"Picked up BP_FD_SalmonGrilled_C_2147482334
"
00:10:26.376000,"Placed BP_FD_SalmonGrilled_C_2147482332 onto plate SM_Plate_Blueprint8
"
00:10:26.530000,"Dropped BP_FD_SalmonGrilled_C_2147482334
"
00:10:43.658000,"Picked up SM_FD_Grapes_15
"
00:10:26.732000,"Placed BP_FD_SalmonGrilled_C_2147482334 onto plate SM_Plate_Blueprint8
"
00:10:49.524000,"Dropped SM_FD_Grapes_15
"
00:10:49.744000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint8
"
00:10:50.721000,"Picked up SM_FD_Strawberry_3
"
00:10:53.121000,"Dropped SM_FD_Strawberry_3
"
00:10:54.920000,"Picked up SM_FD_Grapes_14
"
00:10:56.984000,"Dropped SM_FD_Grapes_14
"
00:10:57.208000,"Placed SM_FD_Grapes_14 onto plate SM_Plate_Blueprint8
"
00:11:00.385000,"Picked up SM_FD_Grapes_06
"
00:11:01.672000,"Dropped SM_FD_Grapes_06
"
00:11:10.843000,"Dropped SM_Plate_Blueprint8
"
00:11:36.496000,"Picked up SM_FD_PizzaBite_Veggie_2
"
00:11:39.141000,"Dropped SM_FD_PizzaBite_Veggie_2
"
00:11:39.317000,"Placed SM_FD_PizzaBite_Veggie_2 onto plate SM_Plate_Blueprint9
"
00:11:45.692000,"Picked up SM_FD_PizzaBite_Veggie_01_5
"
00:11:48.314000,"Dropped SM_FD_PizzaBite_Veggie_01_5
"
00:11:48.515000,"Placed SM_FD_PizzaBite_Veggie_01_5 onto plate SM_Plate_Blueprint9
"
00:11:52.536000,"Picked up SM_FD_Strawberry_3
"
00:11:53.958000,"Dropped SM_FD_Strawberry_3
"
00:11:54.181000,"Placed SM_FD_Strawberry_3 onto plate SM_Plate_Blueprint9
"
00:11:54.869000,"Picked up SM_FD_Strawberry4
"
00:11:56.447000,"Dropped SM_FD_Strawberry4
"
00:11:56.648000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint9
"
00:11:58.379000,"Picked up SM_FD_Strawberry8
"
00:11:59.489000,"Dropped SM_FD_Strawberry8
"
00:11:59.688000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint9
"
00:12:03.017000,"Dropped SM_Plate_Blueprint9
"
00:12:03.129000,"Picked up SM_Plate_Blueprint9
"
00:12:03.774000,"Dropped SM_Plate_Blueprint9
"
00:12:04.974000,"Picked up SM_Plate_Blueprint8
"
00:12:06.794000,"Picked up BP_FD_SalmonGrilled_C_2147482332
"
00:12:10.859000,"Dropped SM_Plate_Blueprint8
"
00:12:21.918000,"Dropped BP_FD_SalmonGrilled_C_2147482332
"
00:11:32.364000,"Picked up SM_Plate_Blueprint9
"
00:12:26.852000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:12:47.464000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:12:49.774000,"Picked up SM_FD_Grapes_06
"
00:12:51.486000,"Dropped SM_FD_Grapes_06
"
00:12:52.126000,"Placed SM_FD_Grapes_06 onto plate SM_Plate_Blueprint8
"
00:12:53.773000,"Picked up SM_FD_Grapes_15 from plate
"
00:12:54.661000,"Dropped SM_FD_Grapes_15
"
00:12:54.773000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint8
"
00:13:14.926000,"Picked up SM_BwlSm_Blueprint2
"
00:13:36.696000,"Dropped SM_BwlSm_Blueprint2
"
00:13:55.946000,"Picked up SM_Plate_Blueprint8
"
00:13:58.087000,"Dropped SM_Plate_Blueprint8
"
00:14:02.351000,"Picked up SM_Plate_Blueprint8
"
00:14:08.126000,"Picked up BP_FD_GreenBeans_C_2147482328
"
00:14:16.055000,"Dropped BP_FD_GreenBeans_C_2147482328
"
00:14:16.367000,"Placed BP_FD_GreenBeans_C_2147482328 onto plate SM_Plate_Blueprint8
"
00:14:21.697000,"Dropped SM_Plate_Blueprint8
"
00:14:51.963000,"Picked up SM_FD_Cookies_ChocChip_5
"
00:14:56.293000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint9
"
00:14:56.693000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint9
"
00:14:57.292000,"Dropped SM_FD_Cookies_ChocChip_5
"
00:14:57.359000,"Placed SM_FD_Cookies_ChocChip_5 onto plate SM_Plate_Blueprint9
"
00:15:00.893000,"Picked up SM_FD_Cookies_ChocChip_3
"
