time,annotation
00:09:48.294000,"Picked up SM_Plate_Blueprint6
"
00:09:55.226000,"Picked up BP_FD_Rice_Brown_C_2147482435
"
00:09:57.337000,"Dropped BP_FD_Rice_Brown_C_2147482435
"
00:09:57.603000,"Placed BP_FD_Rice_Brown_C_2147482435 onto plate SM_Plate_Blueprint6
"
00:09:59.158000,"Picked up BP_FD_Rice_Brown_C_2147482433
"
00:10:00.446000,"Dropped BP_FD_Rice_Brown_C_2147482433
"
00:10:00.713000,"Placed BP_FD_Rice_Brown_C_2147482433 onto plate SM_Plate_Blueprint6
"
00:10:11.553000,"Picked up BP_FD_Chicken_Cajun_C_2147482431
"
00:10:14.286000,"Placed BP_FD_Chicken_Cajun_C_2147482431 onto plate SM_Plate_Blueprint6
"
00:10:14.757000,"Dropped BP_FD_Chicken_Cajun_C_2147482431
"
00:10:15.528000,"Picked up BP_FD_Chicken_Cajun_C_2147482429
"
00:10:30.765000,"Picked up SM_FD_Breadstick_8
"
00:10:32.832000,"Dropped SM_FD_Breadstick_8
"
00:10:33.032000,"Placed SM_FD_Breadstick_8 onto plate SM_Plate_Blueprint6
"
00:10:16.704000,"Dropped BP_FD_Chicken_Cajun_C_2147482429
"
00:10:17.039000,"Placed BP_FD_Chicken_Cajun_C_2147482429 onto plate SM_Plate_Blueprint6
"
00:10:17.904000,"Picked up BP_FD_Chicken_Cajun_C_2147482429
"
00:10:44.937000,"Picked up BP_FD_Fries_Regular_C_2147482427
"
00:10:46.853000,"Dropped BP_FD_Fries_Regular_C_2147482427
"
00:10:18.506000,"Dropped BP_FD_Chicken_Cajun_C_2147482429
"
00:10:18.706000,"Placed BP_FD_Chicken_Cajun_C_2147482429 onto plate SM_Plate_Blueprint6
"
00:10:58.176000,"Dropped SM_Plate_Blueprint6
"
00:11:13.302000,"Picked up SM_BwlSm_Blueprint2
"
00:11:31.738000,"Dropped SM_BwlSm_Blueprint2
"
00:11:32.916000,"Picked up SM_Plate_Blueprint8
"
00:11:36.847000,"Picked up BP_FD_GreenBeans_C_2147482425
"
