time,annotation
00:08:57.894000,"Picked up SM_Plate_Blueprint8
"
00:09:05.800000,"Picked up BP_FD_Rice_White_C_2147482340
"
00:09:09.422000,"Dropped BP_FD_Rice_White_C_2147482340
"
00:09:09.646000,"Placed BP_FD_Rice_White_C_2147482340 onto plate SM_Plate_Blueprint8
"
00:09:12.398000,"Picked up BP_FD_Broccoli_Steamed_C_2147482338
"
00:09:15.264000,"Dropped BP_FD_Broccoli_Steamed_C_2147482338
"
00:09:15.716000,"Placed BP_FD_Broccoli_Steamed_C_2147482338 onto plate SM_Plate_Blueprint8
"
00:09:29.569000,"Picked up BP_FD_Beans_Black_C_2147482334
"
00:09:31.569000,"Dropped BP_FD_Beans_Black_C_2147482334
"
00:09:31.813000,"Placed BP_FD_Beans_Black_C_2147482334 onto plate SM_Plate_Blueprint8
"
00:09:32.326000,"Placed BP_FD_Chicken_Cajun_C_2147482336 onto plate SM_Plate_Blueprint8
"
00:09:37.920000,"Picked up SM_FD_Pizza_Cheese_Piece05
"
00:09:40.919000,"Dropped SM_FD_Pizza_Cheese_Piece05
"
00:09:41.142000,"Placed SM_FD_Pizza_Cheese_Piece05 onto plate SM_Plate_Blueprint8
"
00:09:53.559000,"Picked up BP_FD_Fries_Regular_C_2147482332
"
00:09:56.007000,"Dropped BP_FD_Fries_Regular_C_2147482332
"
00:09:56.273000,"Placed BP_FD_Fries_Regular_C_2147482332 onto plate SM_Plate_Blueprint8
"
00:09:20.926000,"Picked up BP_FD_Chicken_Cajun_C_2147482336
"
00:09:58.360000,"Picked up SM_FD_DinnerRoll_White_4
"
00:10:04.713000,"Dropped SM_FD_DinnerRoll_White_4
"
00:10:04.915000,"Placed SM_FD_DinnerRoll_White_4 onto plate SM_Plate_Blueprint8
"
00:10:14.683000,"Picked up BP_FD_SalmonGrilled_C_2147482330
"
00:10:15.948000,"Dropped BP_FD_SalmonGrilled_C_2147482330
"
00:09:23.106000,"Dropped BP_FD_Chicken_Cajun_C_2147482336
"
00:10:28.826000,"Picked up SM_BwlSm_Blueprint3
"
00:10:36.250000,"Dropped SM_BwlSm_Blueprint3
"
00:10:37.758000,"Picked up SM_Plate_Blueprint11_10
"
00:10:41.139000,"Picked up SM_FD_Strawberry5
"
00:10:43.692000,"Dropped SM_FD_Strawberry5
"
00:10:46.914000,"Picked up SM_FD_Strawberry6
"
00:10:48.047000,"Dropped SM_FD_Strawberry6
"
00:10:48.313000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint11_10
"
00:10:50.291000,"Picked up SM_FD_Grapes_15
"
00:10:51.600000,"Dropped SM_FD_Grapes_15
"
00:10:51.823000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint11_10
"
00:10:52.578000,"Picked up SM_FD_Strawberry4
"
00:10:53.755000,"Dropped SM_FD_Strawberry4
"
00:10:54.045000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint11_10
"
00:10:20.626000,"Dropped SM_Plate_Blueprint8
"
00:10:20.766000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:20.966000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:11:00.240000,"Picked up SM_FD_LemonSquare_8
"
00:11:01.260000,"Dropped SM_FD_LemonSquare_8
"
00:11:01.636000,"Placed SM_FD_LemonSquare_8 onto plate SM_Plate_Blueprint11_10
"
00:11:03.016000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:11:03.216000,"Placed SM_FD_Pizza_Cheese_Piece05 onto plate SM_Plate_Blueprint11_10
"
00:11:03.371000,"Placed SM_FD_Pizza_Cheese_Piece05 onto plate SM_Plate_Blueprint8
"
00:11:03.415000,"Dropped SM_Plate_Blueprint11_10
"
00:11:03.592000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint11_10
"
00:11:03.836000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint11_10
"
00:11:03.858000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:11:39.375000,"Placed BP_FD_SalmonGrilled_C_2147482330 onto plate SM_Plate_Blueprint8
"
00:11:39.375000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint11_10
"
00:11:39.618000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint11_10
"
00:11:39.751000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:11:39.818000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint11_10
"
00:11:20.982000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:12:13.969000,"Picked up SM_Plate_Blueprint7
"
00:12:31.341000,"Dropped BP_FD_SalmonGrilled_C_2147482274
"
00:12:32.266000,"Placed BP_FD_SalmonGrilled_C_2147482274 onto plate SM_Plate_Blueprint7
"
00:12:35.871000,"Picked up BP_FD_Beans_Black_C_2147482272
"
00:12:38.825000,"Dropped BP_FD_Beans_Black_C_2147482272
"
00:12:39.047000,"Placed BP_FD_Beans_Black_C_2147482272 onto plate SM_Plate_Blueprint7
"
00:12:41.758000,"Picked up SM_FD_PizzaBite_Veggie_2
"
00:12:44.135000,"Dropped SM_FD_PizzaBite_Veggie_2
"
00:12:44.356000,"Placed SM_FD_PizzaBite_Veggie_2 onto plate SM_Plate_Blueprint7
"
00:12:49.953000,"Picked up SM_FD_Breadstick_8
"
00:12:52.799000,"Dropped SM_FD_Breadstick_8
"
00:12:52.999000,"Placed SM_FD_Breadstick_8 onto plate SM_Plate_Blueprint7
"
00:12:58.146000,"Picked up BP_FD_Fries_Regular_C_2147482270
"
00:13:04.661000,"Dropped BP_FD_Fries_Regular_C_2147482270
"
00:13:09.544000,"Dropped SM_Plate_Blueprint7
"
00:13:09.921000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:13:10.122000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:13:13.676000,"Picked up SM_Plate_Blueprint8
"
00:12:22.855000,"Picked up BP_FD_SalmonGrilled_C_2147482274
"
00:13:17.344000,"Picked up SM_FD_Strawberry8
"
00:13:18.165000,"Dropped SM_FD_Strawberry8
"
00:13:18.389000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:13:26.716000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint8
"
00:13:29.780000,"Picked up SM_FD_Cookies_ChocChip_01_2
"
00:13:30.778000,"Dropped SM_FD_Cookies_ChocChip_01_2
"
00:13:30.957000,"Placed SM_FD_Cookies_ChocChip_01_2 onto plate SM_Plate_Blueprint8
"
00:13:32.089000,"Placed BP_FD_Fries_Regular_C_2147482270 onto plate SM_Plate_Blueprint7
"
00:13:32.223000,"Dropped SM_Plate_Blueprint8
"
00:13:18.743000,"Picked up SM_FD_Strawberry4
"
00:13:19.253000,"Dropped SM_FD_Strawberry4
"
00:13:39.285000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:13:19.836000,"Picked up SM_FD_Strawberry7
"
00:13:20.253000,"Dropped SM_FD_Strawberry7
"
00:13:53.096000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:13:20.606000,"Placed SM_FD_Strawberry7 onto plate SM_Plate_Blueprint8
"
00:13:21.896000,"Picked up SM_FD_Grapes_15
"
00:13:22.718000,"Dropped SM_FD_Grapes_15
"
00:13:22.896000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint8
"
00:13:24.962000,"Picked up SM_FD_Strawberry4
"
00:13:26.272000,"Dropped SM_FD_Strawberry4
"
