time,annotation
00:10:17.593000,"Picked up SM_Plate_Blueprint8
"
00:10:22.904000,"Picked up BP_FD_Rice_Brown_C_2147482435
"
00:10:33.766000,"Picked up BP_FD_SalmonGrilled_C_2147482433
"
00:10:37.432000,"Dropped BP_FD_SalmonGrilled_C_2147482433
"
00:10:37.722000,"Placed BP_FD_SalmonGrilled_C_2147482433 onto plate SM_Plate_Blueprint8
"
00:10:49.342000,"Picked up BP_FD_Fries_SweetPotato_C_2147482431
"
00:10:52.174000,"Dropped BP_FD_Fries_SweetPotato_C_2147482431
"
00:10:52.354000,"Placed BP_FD_Fries_SweetPotato_C_2147482431 onto plate SM_Plate_Blueprint8
"
00:10:27.084000,"Dropped BP_FD_Rice_Brown_C_2147482435
"
00:10:58.592000,"Picked up SM_FD_DinnerRoll_White_4
"
00:11:00.859000,"Dropped SM_FD_DinnerRoll_White_4
"
00:11:01.104000,"Placed SM_FD_DinnerRoll_White_4 onto plate SM_Plate_Blueprint8
"
00:10:27.371000,"Placed BP_FD_Rice_Brown_C_2147482435 onto plate SM_Plate_Blueprint8
"
00:11:19.357000,"Dropped SM_Plate_Blueprint8
"
00:11:25.108000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:11:40.991000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:12:16.918000,"Picked up SM_Plate_Blueprint8
"
00:12:24.739000,"Picked up BP_FD_Pasta_White_C_2147482376
"
00:12:34.931000,"Picked up BP_FD_Sauce_Alfredo_C_2147482374
"
00:12:38.177000,"Dropped BP_FD_Sauce_Alfredo_C_2147482374
"
00:12:38.446000,"Placed BP_FD_Sauce_Alfredo_C_2147482374 onto plate SM_Plate_Blueprint8
"
00:12:45.242000,"Picked up SM_FD_Breadstick_10
"
00:12:47.521000,"Placed SM_FD_Breadstick_10 onto plate SM_Plate_Blueprint8
"
00:12:47.822000,"Dropped SM_FD_Breadstick_10
"
00:12:27.026000,"Dropped BP_FD_Pasta_White_C_2147482376
"
00:12:57.401000,"Picked up BP_FD_Broccoli_Steamed_C_2147482372
"
00:13:01.043000,"Dropped BP_FD_Broccoli_Steamed_C_2147482372
"
00:13:01.354000,"Placed BP_FD_Broccoli_Steamed_C_2147482372 onto plate SM_Plate_Blueprint8
"
00:13:02.021000,"Picked up BP_FD_Broccoli_Steamed_C_2147482372
"
00:13:02.620000,"Dropped BP_FD_Broccoli_Steamed_C_2147482372
"
00:13:02.887000,"Placed BP_FD_Broccoli_Steamed_C_2147482372 onto plate SM_Plate_Blueprint8
"
00:12:27.742000,"Placed BP_FD_Pasta_White_C_2147482376 onto plate SM_Plate_Blueprint8
"
00:13:09.064000,"Picked up SM_FD_Breadstick_10
"
00:13:10.241000,"Dropped SM_FD_Breadstick_10
"
00:13:10.446000,"Placed SM_FD_Breadstick_10 onto plate SM_Plate_Blueprint8
"
00:13:12.972000,"Picked up SM_FD_PizzaBite_Veggie_2
"
00:13:14.551000,"Placed SM_FD_PizzaBite_Veggie_2 onto plate SM_Plate_Blueprint8
"
00:13:14.862000,"Dropped SM_FD_PizzaBite_Veggie_2
"
00:13:19.412000,"Picked up SM_FD_Apple_Slice_8
"
00:13:20.215000,"Dropped SM_FD_Apple_Slice_8
"
00:13:21.171000,"Picked up SM_FD_LemonSquare_8
"
00:13:22.348000,"Dropped SM_FD_LemonSquare_8
"
00:13:22.614000,"Placed SM_FD_LemonSquare_8 onto plate SM_Plate_Blueprint8
"
00:12:29.602000,"Picked up BP_FD_Pasta_White_C_2147482376
"
00:12:30.515000,"Dropped BP_FD_Pasta_White_C_2147482376
"
00:12:30.714000,"Placed BP_FD_Pasta_White_C_2147482376 onto plate SM_Plate_Blueprint8
"
00:13:24.700000,"Dropped SM_Plate_Blueprint8
"
00:13:43.579000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:13:30.674000,"Picked up SM_BeverageCup_Blueprint4_219
"
