time,annotation
00:07:11.400000,"Picked up SM_Plate_Blueprint6
"
00:07:17.222000,"Picked up BP_FD_Broccoli_Steamed_C_2147482489
"
00:07:20.377000,"Dropped BP_FD_Broccoli_Steamed_C_2147482489
"
00:07:20.621000,"Placed BP_FD_Broccoli_Steamed_C_2147482489 onto plate SM_Plate_Blueprint6
"
00:07:24.953000,"Picked up BP_FD_Chicken_Cajun_C_2147482487
"
00:07:28.329000,"Dropped BP_FD_Chicken_Cajun_C_2147482487
"
00:07:28.594000,"Placed BP_FD_Chicken_Cajun_C_2147482487 onto plate SM_Plate_Blueprint6
"
00:07:48.549000,"Dropped SM_Plate_Blueprint6
"
00:07:56.337000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:07:37.948000,"Picked up BP_FD_Rice_White_C_2147482485
"
00:08:10.997000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:16.179000,"Picked up SM_Plate_Blueprint8
"
00:08:19.107000,"Picked up SM_FD_LemonSquare_01_2
"
00:08:20.639000,"Placed SM_FD_LemonSquare_7 onto plate SM_Plate_Blueprint8
"
00:08:21.352000,"Dropped SM_FD_LemonSquare_01_2
"
00:08:21.573000,"Placed SM_FD_LemonSquare_01_2 onto plate SM_Plate_Blueprint8
"
00:08:25.080000,"Dropped SM_Plate_Blueprint8
"
00:07:41.056000,"Placed BP_FD_Rice_White_C_2147482485 onto plate SM_Plate_Blueprint6
"
00:07:41.149000,"Dropped BP_FD_Rice_White_C_2147482485
"
