time,annotation
00:07:08.742000,"Picked up SM_Plate_Blueprint6
"
00:07:20.739000,"Picked up SM_FD_Strawberry4
"
00:07:21.630000,"Dropped SM_FD_Strawberry4
"
00:07:21.830000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint6
"
00:07:22.935000,"Picked up SM_FD_Strawberry6
"
00:07:23.183000,"Dropped SM_FD_Strawberry6
"
00:07:23.384000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint6
"
00:07:23.762000,"Picked up SM_FD_Strawberry8
"
00:07:25.536000,"Dropped SM_FD_Strawberry8
"
00:07:25.716000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint6
"
00:07:29.624000,"Picked up SM_FD_Apple_Slice_8
"
00:07:30.513000,"Dropped SM_FD_Apple_Slice_8
"
00:07:31.044000,"Picked up SM_FD_LemonSquare_8
"
00:07:32.424000,"Dropped SM_FD_LemonSquare_8
"
00:07:32.626000,"Placed SM_FD_LemonSquare_8 onto plate SM_Plate_Blueprint6
"
00:07:58.028000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:08:12.823000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:28.528000,"Picked up SM_BwlSm_Blueprint2
"
00:08:39.723000,"Dropped SM_BwlSm_Blueprint2
"
00:07:52.411000,"Dropped SM_Plate_Blueprint6
"
