time,annotation
00:08:44.089000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint8
"
00:08:52.862000,"Dropped SM_Plate_Blueprint8
"
00:09:04.746000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:08:46.334000,"Picked up SM_FD_Strawberry8
"
00:09:22.316000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:47.092000,"Dropped SM_FD_Strawberry8
"
00:08:47.311000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:08:48.043000,"Picked up SM_FD_Strawberry3
"
00:08:48.799000,"Dropped SM_FD_Strawberry3
"
00:08:49.023000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:08:09.591000,"Picked up SM_Plate_Blueprint8
"
00:08:13.768000,"Picked up BP_FD_Broccoli_Steamed_C_2147482489
"
00:08:16.724000,"Dropped BP_FD_Broccoli_Steamed_C_2147482489
"
00:08:16.990000,"Placed BP_FD_Broccoli_Steamed_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:08:23.852000,"Picked up BP_FD_SalmonGrilled_C_2147482487
"
00:08:24.786000,"Dropped BP_FD_SalmonGrilled_C_2147482487
"
00:08:25.076000,"Placed BP_FD_SalmonGrilled_C_2147482487 onto plate SM_Plate_Blueprint8
"
