time,annotation
00:07:05.593000,"Picked up SM_Plate_Blueprint8
"
00:07:09.702000,"Picked up BP_FD_Rice_Fried_C_2147482489
"
00:07:11.301000,"Dropped BP_FD_Rice_Fried_C_2147482489
"
00:07:11.546000,"Placed BP_FD_Rice_Fried_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:07:14.168000,"Picked up BP_FD_Rice_Fried_C_2147482489
"
00:07:16.189000,"Dropped BP_FD_Rice_Fried_C_2147482489
"
00:07:16.367000,"Placed BP_FD_Rice_Fried_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:07:17.928000,"Picked up BP_FD_Broccoli_Steamed_C_2147482487
"
00:07:20.097000,"Dropped BP_FD_Broccoli_Steamed_C_2147482487
"
00:07:20.321000,"Placed BP_FD_Broccoli_Steamed_C_2147482487 onto plate SM_Plate_Blueprint8
"
00:07:25.888000,"Picked up BP_FD_SalmonGrilled_C_2147482485
"
00:07:42.288000,"Picked up BP_FD_Pasta_White_C_2147482483
"
00:07:27.961000,"Dropped BP_FD_SalmonGrilled_C_2147482485
"
00:07:28.184000,"Placed BP_FD_SalmonGrilled_C_2147482485 onto plate SM_Plate_Blueprint8
"
00:07:47.129000,"Dropped BP_FD_Pasta_White_C_2147482483
"
00:07:47.374000,"Placed BP_FD_Pasta_White_C_2147482483 onto plate SM_Plate_Blueprint8
"
00:07:47.998000,"Picked up BP_FD_Pasta_White_C_2147482483
"
00:07:49.129000,"Dropped BP_FD_Pasta_White_C_2147482483
"
00:07:49.307000,"Placed BP_FD_Pasta_White_C_2147482483 onto plate SM_Plate_Blueprint8
"
00:07:51.373000,"Picked up BP_FD_Sauce_Marinara_C_2147482481
"
00:07:54.012000,"Dropped BP_FD_Sauce_Marinara_C_2147482481
"
00:07:54.279000,"Placed BP_FD_Sauce_Marinara_C_2147482481 onto plate SM_Plate_Blueprint8
"
00:08:02.233000,"Dropped SM_Plate_Blueprint8
"
00:08:06.854000,"Picked up SM_BwlSm_Blueprint3
"
00:08:23.518000,"Dropped SM_BwlSm_Blueprint3
"
00:08:27.548000,"Picked up SM_Plate_Blueprint7
"
00:08:36.668000,"Placed SM_FD_DinnerRoll_White_4 onto plate SM_Plate_Blueprint7
"
00:08:40.996000,"Picked up SM_FD_Strawberry3
"
00:08:42.241000,"Dropped SM_FD_Strawberry3
"
00:08:42.420000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint7
"
00:08:43.551000,"Dropped SM_FD_Strawberry8
"
00:08:43.678000,"Picked up SM_FD_Strawberry8
"
00:08:44.152000,"Picked up SM_FD_Strawberry4
"
00:08:44.248000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint7
"
00:08:44.729000,"Dropped SM_FD_Strawberry4
"
00:08:45.063000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint7
"
00:08:46.972000,"Picked up BP_FD_ChocolatePudding_C_2147482478
"
00:08:49.083000,"Dropped BP_FD_ChocolatePudding_C_2147482478
"
00:08:49.328000,"Placed BP_FD_ChocolatePudding_C_2147482478 onto plate SM_Plate_Blueprint7
"
00:08:52.879000,"Dropped SM_Plate_Blueprint7
"
00:08:58.253000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:09:13.134000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:31.689000,"Picked up SM_FD_DinnerRoll_White_4
"
00:08:33.108000,"Dropped SM_FD_DinnerRoll_White_4
"
00:08:34.664000,"Picked up SM_FD_DinnerRoll_White_4
"
00:08:35.640000,"Dropped SM_FD_DinnerRoll_White_4
"
