time,annotation
00:07:17.836000,"Picked up BP_FD_Rice_Brown_C_2147482497
"
00:07:19.949000,"Dropped BP_FD_Rice_Brown_C_2147482497
"
00:07:20.201000,"Placed BP_FD_Rice_Brown_C_2147482497 onto plate SM_Plate_Blueprint8
"
00:07:22.701000,"Picked up BP_FD_SalmonGrilled_C_2147482495
"
00:07:27.012000,"Dropped BP_FD_SalmonGrilled_C_2147482495
"
00:07:27.278000,"Placed BP_FD_SalmonGrilled_C_2147482495 onto plate SM_Plate_Blueprint8
"
00:07:30.328000,"Picked up SM_FD_PizzaBite_Veggie_2
"
00:07:30.987000,"Dropped SM_FD_PizzaBite_Veggie_2
"
00:07:31.231000,"Placed SM_FD_PizzaBite_Veggie_2 onto plate SM_Plate_Blueprint8
"
00:07:43.214000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:07:44.526000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:07:44.747000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
00:07:10.948000,"Picked up SM_Plate_Blueprint8
"
00:07:46.378000,"Dropped SM_Plate_Blueprint8
"
00:07:52.232000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:08:04.914000,"Dropped SM_BeverageCup_Blueprint4_219
"
