time,annotation
00:07:28.913000,"Picked up SM_Plate_Blueprint7
"
00:07:39.974000,"Picked up BP_FD_Rice_White_C_2147482497
"
00:07:42.617000,"Dropped BP_FD_Rice_White_C_2147482497
"
00:07:42.817000,"Placed BP_FD_Rice_White_C_2147482497 onto plate SM_Plate_Blueprint7
"
00:07:48.214000,"Picked up BP_FD_SalmonGrilled_C_2147482495
"
00:07:51.857000,"Dropped BP_FD_SalmonGrilled_C_2147482495
"
00:07:52.057000,"Placed BP_FD_SalmonGrilled_C_2147482495 onto plate SM_Plate_Blueprint7
"
00:07:55.767000,"Picked up BP_FD_Beans_Black_C_2147482493
"
00:07:57.255000,"Dropped BP_FD_Beans_Black_C_2147482493
"
00:08:13.217000,"Picked up BP_FD_GreenBeans_C_2147482491
"
00:08:15.625000,"Dropped BP_FD_GreenBeans_C_2147482491
"
00:08:15.870000,"Placed BP_FD_GreenBeans_C_2147482491 onto plate SM_Plate_Blueprint7
"
00:08:18.823000,"Dropped SM_Plate_Blueprint7
"
00:08:23.847000,"Picked up SM_Plate_Blueprint8
"
00:08:27.931000,"Picked up SM_FD_Cookies_ChocChip_5
"
00:07:35.620000,"Picked up BP_FD_Rice_White_C_2147482497
"
00:07:36.376000,"Dropped BP_FD_Rice_White_C_2147482497
"
00:07:37.242000,"Picked up BP_FD_Rice_White_C_2147482497
"
00:07:38.374000,"Dropped BP_FD_Rice_White_C_2147482497
"
00:07:38.575000,"Placed BP_FD_Rice_White_C_2147482497 onto plate SM_Plate_Blueprint7
"
00:08:30.312000,"Dropped SM_FD_Cookies_ChocChip_5
"
00:08:30.489000,"Placed SM_FD_Cookies_ChocChip_5 onto plate SM_Plate_Blueprint8
"
00:08:41.767000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:08:31.419000,"Picked up SM_FD_Cookies_ChocChip_9
"
00:08:55.207000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:57.048000,"Picked up SM_Plate_Blueprint8
"
00:08:32.619000,"Dropped SM_FD_Cookies_ChocChip_9
"
00:08:32.798000,"Placed SM_FD_Cookies_ChocChip_9 onto plate SM_Plate_Blueprint8
"
00:08:59.787000,"Picked up SM_FD_Grapes_06
"
00:09:00.853000,"Dropped SM_FD_Grapes_06
"
00:09:01.719000,"Picked up SM_FD_Strawberry8
"
00:09:02.628000,"Dropped SM_FD_Strawberry8
"
00:09:02.828000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:09:03.540000,"Picked up SM_FD_Strawberry3
"
00:09:04.405000,"Dropped SM_FD_Strawberry3
"
00:09:04.584000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:09:05.451000,"Picked up SM_FD_Strawberry7
"
00:09:06.338000,"Dropped SM_FD_Strawberry7
"
00:09:06.628000,"Placed SM_FD_Strawberry7 onto plate SM_Plate_Blueprint8
"
00:09:09.066000,"Dropped SM_Plate_Blueprint8
"
00:08:36.570000,"Dropped SM_Plate_Blueprint8
"
