time,annotation
00:08:25.159000,"Picked up SM_Plate_Blueprint9
"
00:08:29.509000,"Picked up BP_FD_Fries_SweetPotato_C_2147482340
"
00:08:33.241000,"Placed BP_FD_Fries_SweetPotato_C_2147482340 onto plate SM_Plate_Blueprint9
"
00:08:33.567000,"Dropped BP_FD_Fries_SweetPotato_C_2147482340
"
00:08:46.303000,"Placed BP_FD_Rice_White_C_2147482338 onto plate SM_Plate_Blueprint9
"
00:08:46.537000,"Dropped BP_FD_Rice_White_C_2147482338
"
00:08:50.344000,"Picked up BP_FD_Chicken_Cajun_C_2147482336
"
00:08:52.586000,"Dropped BP_FD_Chicken_Cajun_C_2147482336
"
00:08:52.856000,"Placed BP_FD_Chicken_Cajun_C_2147482336 onto plate SM_Plate_Blueprint9
"
00:08:57.606000,"Dropped SM_Plate_Blueprint9
"
00:09:04.184000,"Picked up SM_BwlSm_Blueprint2
"
00:09:10.003000,"Picked up SM_FD_Cookies_ChocChip_01_2
"
00:09:12.470000,"Dropped SM_FD_Cookies_ChocChip_01_2
"
00:09:14.469000,"Picked up SM_FD_Strawberry4
"
00:09:16.513000,"Dropped SM_FD_Strawberry4
"
00:09:23.285000,"Dropped SM_BwlSm_Blueprint2
"
00:09:24.661000,"Picked up SM_Plate_Blueprint8
"
00:09:27.840000,"Picked up SM_FD_Strawberry8
"
00:09:29.219000,"Dropped SM_FD_Strawberry8
"
00:09:29.396000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:09:32.126000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:08:42.881000,"Picked up BP_FD_Rice_White_C_2147482338
"
00:09:33.303000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:09:46.295000,"Dropped SM_Plate_Blueprint8
"
00:09:47.785000,"Picked up SM_Plate_Blueprint8
"
00:09:50.007000,"Picked up SM_FD_LemonSquare_7
"
00:09:50.584000,"Dropped SM_FD_LemonSquare_7
"
00:09:51.694000,"Picked up SM_FD_LemonSquare_8
"
00:09:53.517000,"Dropped SM_Plate_Blueprint8
"
00:09:58.289000,"Dropped SM_FD_LemonSquare_8
"
00:10:00.713000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:09:36.280000,"Picked up SM_FD_Cookies_ChocChip_9
"
00:09:36.947000,"Placed SM_FD_LemonSquare_7 onto plate SM_Plate_Blueprint8
"
00:09:37.169000,"Placed SM_FD_LemonSquare_8 onto plate SM_Plate_Blueprint8
"
00:09:37.524000,"Dropped SM_FD_Cookies_ChocChip_9
"
00:09:37.769000,"Placed SM_FD_Cookies_ChocChip_9 onto plate SM_Plate_Blueprint8
"
00:10:18.549000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:09:41.768000,"Dropped SM_Plate_Blueprint8
"
00:09:41.768000,"Picked up SM_Plate_Blueprint8
"
00:11:44.107000,"Dropped BP_FD_Fries_SweetPotato_C_2147482172
"
00:11:44.208000,"Placed BP_FD_Fries_SweetPotato_C_2147482172 onto plate SM_Plate_Blueprint9
"
00:11:52.338000,"Picked up BP_FD_Pasta_White_C_2147482170
"
00:11:55.581000,"Dropped BP_FD_Pasta_White_C_2147482170
"
00:11:55.847000,"Placed BP_FD_Pasta_White_C_2147482170 onto plate SM_Plate_Blueprint9
"
00:11:59.599000,"Picked up SM_FD_Breadstick_9
"
00:12:02.466000,"Dropped SM_FD_Breadstick_9
"
00:12:02.666000,"Placed SM_FD_Breadstick_9 onto plate SM_Plate_Blueprint9
"
00:12:07.972000,"Picked up BP_FD_Chicken_Cajun_C_2147482168
"
00:12:11.127000,"Dropped BP_FD_Chicken_Cajun_C_2147482168
"
