time,annotation
00:08:13.837000,"Picked up SM_Plate_Blueprint8
"
00:08:18.056000,"Dropped SM_Plate_Blueprint8
"
00:08:42.867000,"Picked up SM_Plate_Blueprint8
"
00:08:47.956000,"Picked up BP_FD_Rice_Fried_C_2147482433
"
00:08:50.866000,"Dropped BP_FD_Rice_Fried_C_2147482433
"
00:08:51.131000,"Placed BP_FD_Rice_Fried_C_2147482433 onto plate SM_Plate_Blueprint8
"
00:08:54.396000,"Picked up BP_FD_GreenBeans_C_2147482431
"
00:08:55.838000,"Dropped BP_FD_GreenBeans_C_2147482431
"
00:08:56.083000,"Placed BP_FD_GreenBeans_C_2147482431 onto plate SM_Plate_Blueprint8
"
00:09:00.017000,"Picked up BP_FD_Beef_Braised_C_2147482429
"
00:09:02.726000,"Dropped BP_FD_Beef_Braised_C_2147482429
"
00:09:03.124000,"Placed BP_FD_Beef_Braised_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:09:04.635000,"Picked up BP_FD_Beef_Braised_C_2147482429
"
00:09:05.768000,"Dropped BP_FD_Beef_Braised_C_2147482429
"
00:09:05.969000,"Placed BP_FD_Beef_Braised_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:09:06.790000,"Picked up BP_FD_Beef_Braised_C_2147482429
"
00:09:07.524000,"Dropped BP_FD_Beef_Braised_C_2147482429
"
00:09:07.701000,"Placed BP_FD_Beef_Braised_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:09:10.434000,"Picked up BP_FD_Chicken_Cajun_C_2147482427
"
00:09:14.387000,"Dropped BP_FD_Chicken_Cajun_C_2147482427
"
00:09:14.697000,"Placed BP_FD_Chicken_Cajun_C_2147482427 onto plate SM_Plate_Blueprint8
"
00:09:16.407000,"Picked up BP_FD_Chicken_Cajun_C_2147482427
"
00:09:17.206000,"Dropped BP_FD_Chicken_Cajun_C_2147482427
"
00:09:17.454000,"Placed BP_FD_Chicken_Cajun_C_2147482427 onto plate SM_Plate_Blueprint8
"
00:09:24.340000,"Picked up SM_FD_Pizza_Cheese_Piece04
"
00:09:26.515000,"Dropped SM_FD_Pizza_Cheese_Piece04
"
00:09:26.716000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint8
"
00:09:36.177000,"Picked up SM_FD_Breadstick_8
"
00:09:37.911000,"Dropped SM_FD_Breadstick_8
"
00:09:38.109000,"Placed SM_FD_Breadstick_8 onto plate SM_Plate_Blueprint8
"
00:09:44.041000,"Picked up BP_FD_Fries_SweetPotato_C_2147482425
"
00:09:27.561000,"Picked up SM_FD_Pizza_Cheese_Piece04
"
00:09:46.880000,"Dropped BP_FD_Fries_SweetPotato_C_2147482425
"
00:09:51.994000,"Picked up SM_FD_DinnerRoll_White_8
"
00:09:54.037000,"Dropped SM_FD_DinnerRoll_White_8
"
00:09:28.515000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint8
"
00:09:28.980000,"Dropped SM_FD_Pizza_Cheese_Piece04
"
00:09:55.571000,"Picked up SM_FD_DinnerRoll_White_8
"
00:09:56.725000,"Dropped SM_FD_DinnerRoll_White_8
"
00:09:58.216000,"Picked up SM_FD_DinnerRoll_White_8
"
00:09:58.858000,"Dropped SM_FD_DinnerRoll_White_8
"
00:09:59.412000,"Placed SM_FD_DinnerRoll_White_8 onto plate SM_Plate_Blueprint8
"
00:10:01.699000,"Picked up SM_FD_DinnerRoll_White_8
"
00:10:03.125000,"Dropped SM_FD_DinnerRoll_White_8
"
00:10:07.586000,"Placed BP_FD_Fries_SweetPotato_C_2147482425 onto plate SM_Plate_Blueprint8
"
00:10:09.052000,"Dropped SM_Plate_Blueprint8
"
00:10:13.160000,"Picked up SM_Plate_Blueprint7
"
00:10:20.182000,"Picked up SM_FD_Apple_Slice_34
"
00:10:21.604000,"Dropped SM_FD_Apple_Slice_34
"
00:10:21.804000,"Placed SM_FD_Apple_Slice_34 onto plate SM_Plate_Blueprint7
"
00:10:23.514000,"Picked up SM_FD_Apple_Slice_8
"
00:10:24.737000,"Dropped SM_FD_Apple_Slice_8
"
00:10:24.915000,"Placed SM_FD_Apple_Slice_8 onto plate SM_Plate_Blueprint7
"
00:10:26.801000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:10:38.016000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint7
"
00:10:38.217000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint8
"
00:10:38.727000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:38.928000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:39.149000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:39.682000,"Dropped SM_Plate_Blueprint7
"
00:10:41.394000,"Picked up SM_FD_Pizza_Cheese_Piece04 from plate
"
00:10:41.594000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint8
"
00:10:41.905000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:42.125000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:42.169000,"Dropped SM_FD_Pizza_Cheese_Piece04
"
00:10:42.354000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:42.570000,"Placed SM_FD_DinnerRoll_White_8 onto plate SM_Plate_Blueprint8
"
00:10:42.793000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:42.814000,"Picked up SM_Plate_Blueprint8
"
00:10:42.993000,"Placed SM_FD_Pizza_Cheese_Piece04 onto plate SM_Plate_Blueprint8
"
00:10:44.169000,"Picked up BP_FD_Fries_SweetPotato_C_2147482425
"
00:10:45.147000,"Dropped BP_FD_Fries_SweetPotato_C_2147482425
"
00:10:28.069000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:10:45.768000,"Dropped SM_Plate_Blueprint8
"
00:10:46.090000,"Placed BP_FD_Fries_SweetPotato_C_2147482425 onto plate SM_Plate_Blueprint8
"
00:10:47.524000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:47.724000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:47.945000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:48.080000,"Picked up SM_FD_Pizza_Cheese_Piece04 from plate
"
00:10:48.167000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:48.369000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
00:10:48.570000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint8
"
