time,annotation
00:13:27.220000,"Picked up SM_Plate_Blueprint8
"
00:13:31.864000,"Picked up BP_FD_Broccoli_Steamed_C_2147482431
"
00:13:35.728000,"Dropped BP_FD_Broccoli_Steamed_C_2147482431
"
00:13:38.047000,"Picked up BP_FD_Broccoli_Steamed_C_2147482431
"
00:13:39.482000,"Dropped BP_FD_Broccoli_Steamed_C_2147482431
"
00:13:39.727000,"Placed BP_FD_Broccoli_Steamed_C_2147482431 onto plate SM_Plate_Blueprint8
"
00:13:48.992000,"Picked up SM_FD_PizzaBite_Veggie_2
"
00:13:50.700000,"Dropped SM_FD_PizzaBite_Veggie_2
"
00:13:51.437000,"Placed SM_FD_PizzaBite_Veggie_2 onto plate SM_Plate_Blueprint8
"
00:14:09.447000,"Dropped BP_FD_Pasta_WholeGrain_C_2147482429
"
00:14:09.735000,"Placed BP_FD_Pasta_WholeGrain_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:14:10.759000,"Picked up BP_FD_Pasta_WholeGrain_C_2147482429
"
00:14:00.185000,"Picked up BP_FD_Pasta_WholeGrain_C_2147482429
"
00:14:18.496000,"Dropped BP_FD_Pasta_WholeGrain_C_2147482429
"
00:14:18.690000,"Placed BP_FD_Pasta_WholeGrain_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:14:23.820000,"Picked up BP_FD_Sauce_Marinara_C_2147482427
"
00:14:27.594000,"Dropped BP_FD_Sauce_Marinara_C_2147482427
"
00:14:28.027000,"Placed BP_FD_Sauce_Marinara_C_2147482427 onto plate SM_Plate_Blueprint8
"
00:14:34.603000,"Picked up BP_FD_Fries_SweetPotato_C_2147482425
"
00:14:36.158000,"Dropped BP_FD_Fries_SweetPotato_C_2147482425
"
00:14:36.468000,"Placed BP_FD_Fries_SweetPotato_C_2147482425 onto plate SM_Plate_Blueprint8
"
00:14:48.617000,"Dropped SM_Plate_Blueprint8
"
00:14:52.416000,"Picked up SM_Plate_Blueprint_2
"
00:14:55.320000,"Picked up SM_FD_Strawberry8
"
00:14:58.718000,"Dropped SM_FD_Strawberry8
"
00:14:59.607000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint_2
"
00:14:59.763000,"Picked up SM_FD_Strawberry3
"
00:15:11.445000,"Picked up SM_FD_Grapes_15
"
00:15:12.711000,"Dropped SM_FD_Grapes_15
"
00:15:13.547000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint_2
"
00:15:16.599000,"Picked up SM_FD_Grapes_12
"
00:15:17.997000,"Dropped SM_FD_Grapes_12
"
00:15:18.265000,"Placed SM_FD_Grapes_12 onto plate SM_Plate_Blueprint_2
"
00:15:22.418000,"Placed BP_FD_Fries_SweetPotato_C_2147482425 onto plate SM_Plate_Blueprint_2
"
00:15:22.547000,"Dropped SM_Plate_Blueprint_2
"
00:15:22.638000,"Placed BP_FD_Fries_SweetPotato_C_2147482425 onto plate SM_Plate_Blueprint8
"
00:15:23.007000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint_2
"
00:15:01.583000,"Dropped SM_FD_Strawberry3
"
00:15:01.785000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint_2
"
00:15:28.143000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:15:02.649000,"Picked up SM_FD_Strawberry4
"
00:15:46.667000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:15:03.828000,"Dropped SM_FD_Strawberry4
"
00:15:04.072000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint_2
"
00:15:05.137000,"Picked up SM_FD_Strawberry6
"
00:15:06.002000,"Dropped SM_FD_Strawberry6
"
00:15:06.406000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint_2
"
00:16:33.457000,"Picked up SM_Plate_Blueprint8
"
00:16:36.269000,"Picked up BP_FD_Rice_Fried_C_2147482370
"
00:16:38.469000,"Dropped BP_FD_Rice_Fried_C_2147482370
"
00:16:38.668000,"Placed BP_FD_Rice_Fried_C_2147482370 onto plate SM_Plate_Blueprint8
"
00:16:41.022000,"Picked up BP_FD_Broccoli_Steamed_C_2147482368
"
00:16:46.307000,"Dropped BP_FD_Broccoli_Steamed_C_2147482368
"
00:16:46.508000,"Placed BP_FD_Broccoli_Steamed_C_2147482368 onto plate SM_Plate_Blueprint8
"
00:16:50.064000,"Picked up BP_FD_GreenBeans_C_2147482366
"
00:16:54.770000,"Dropped BP_FD_GreenBeans_C_2147482366
"
