time,annotation
00:09:39.274000,"Dropped BP_FD_SalmonGrilled_C_2147482373
"
00:09:39.474000,"Placed BP_FD_SalmonGrilled_C_2147482373 onto plate SM_Plate_Blueprint7
"
00:09:42.606000,"Picked up BP_FD_Broccoli_Steamed_C_2147482371
"
00:09:45.470000,"Dropped BP_FD_Broccoli_Steamed_C_2147482371
"
00:09:45.518000,"Placed BP_FD_Broccoli_Steamed_C_2147482371 onto plate SM_Plate_Blueprint7
"
00:09:46.850000,"Picked up BP_FD_Broccoli_Steamed_C_2147482371
"
00:09:47.626000,"Dropped BP_FD_Broccoli_Steamed_C_2147482371
"
00:09:47.805000,"Placed BP_FD_Broccoli_Steamed_C_2147482371 onto plate SM_Plate_Blueprint7
"
00:09:51.500000,"Picked up BP_FD_Rice_White_C_2147482369
"
00:09:53.524000,"Picked up BP_FD_Rice_White_C_2147482369
"
00:09:53.591000,"Placed BP_FD_Rice_White_C_2147482369 onto plate SM_Plate_Blueprint7
"
00:09:53.746000,"Dropped BP_FD_Rice_White_C_2147482369
"
00:09:53.946000,"Placed BP_FD_Rice_White_C_2147482369 onto plate SM_Plate_Blueprint7
"
00:09:53.990000,"Dropped BP_FD_Rice_White_C_2147482369
"
00:09:54.123000,"Picked up BP_FD_Rice_White_C_2147482369
"
00:09:54.678000,"Dropped BP_FD_Rice_White_C_2147482369
"
00:09:54.858000,"Placed BP_FD_Rice_White_C_2147482369 onto plate SM_Plate_Blueprint7
"
00:10:09.607000,"Dropped SM_Plate_Blueprint7
"
00:10:09.850000,"Picked up BP_FD_Rice_White_C_2147482369 from plate
"
00:10:09.983000,"Dropped BP_FD_Rice_White_C_2147482369
"
00:10:10.050000,"Placed BP_FD_Rice_White_C_2147482369 onto plate SM_Plate_Blueprint7
"
00:09:34.096000,"Picked up SM_Plate_Blueprint7
"
00:10:18.713000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:09:37.763000,"Picked up BP_FD_SalmonGrilled_C_2147482373
"
00:10:50.276000,"Picked up SM_Plate_Blueprint7
"
00:10:55.451000,"Dropped SM_Plate_Blueprint7
"
00:10:58.490000,"Picked up SM_Plate_Blueprint8
"
00:11:02.027000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:11:03.872000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:11:04.093000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
00:11:06.182000,"Picked up SM_FD_Cookies_ChocChip_01_2
"
00:11:09.558000,"Placed SM_FD_Cookies_ChocChip_01_2 onto plate SM_Plate_Blueprint8
"
00:11:09.890000,"Dropped SM_FD_Cookies_ChocChip_01_2
"
00:11:19.709000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:11:22.796000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:11:22.974000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
00:11:24.240000,"Picked up SM_FD_Cookies_ChocChip_01_2
"
00:11:26.485000,"Dropped SM_FD_Cookies_ChocChip_01_2
"
00:11:26.685000,"Placed SM_FD_Cookies_ChocChip_01_2 onto plate SM_Plate_Blueprint8
"
00:10:35.527000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:11:30.567000,"Dropped SM_Plate_Blueprint8
"
00:12:05.083000,"Picked up SM_Plate_Blueprint8
"
00:12:14.191000,"Picked up BP_FD_Pasta_White_C_2147482313
"
00:12:16.857000,"Dropped BP_FD_Pasta_White_C_2147482313
"
00:12:17.079000,"Placed BP_FD_Pasta_White_C_2147482313 onto plate SM_Plate_Blueprint8
"
00:12:19.966000,"Picked up BP_FD_Sauce_Alfredo_C_2147482311
"
00:12:22.010000,"Dropped BP_FD_Sauce_Alfredo_C_2147482311
"
00:12:22.276000,"Placed BP_FD_Sauce_Alfredo_C_2147482311 onto plate SM_Plate_Blueprint8
"
00:12:25.853000,"Picked up SM_FD_Breadstick_001_2
"
00:12:28.052000,"Dropped SM_FD_Breadstick_001_2
"
00:12:28.252000,"Placed SM_FD_Breadstick_001_2 onto plate SM_Plate_Blueprint8
"
00:12:42.635000,"Dropped SM_Plate_Blueprint8
"
00:12:47.652000,"Picked up SM_Plate_Blueprint_2
"
00:12:50.054000,"Picked up BP_FD_Broccoli_Steamed_C_2147482309
"
00:12:51.696000,"Dropped BP_FD_Broccoli_Steamed_C_2147482309
"
00:12:51.963000,"Placed BP_FD_Broccoli_Steamed_C_2147482309 onto plate SM_Plate_Blueprint_2
"
00:12:52.429000,"Picked up BP_FD_Broccoli_Steamed_C_2147482309
"
00:12:56.738000,"Dropped BP_FD_Broccoli_Steamed_C_2147482309
"
00:12:56.917000,"Placed BP_FD_Broccoli_Steamed_C_2147482309 onto plate SM_Plate_Blueprint_2
"
00:13:01.090000,"Dropped SM_Plate_Blueprint_2
"
00:12:32.428000,"Picked up SM_FD_DinnerRoll_Wheat_01_15
"
00:13:08.844000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:12:35.660000,"Dropped SM_FD_DinnerRoll_Wheat_01_15
"
00:12:35.860000,"Placed SM_FD_DinnerRoll_Wheat_01_15 onto plate SM_Plate_Blueprint8
"
00:13:30.740000,"Dropped SM_BeverageCup_Blueprint4_219
"
