time,annotation
00:08:41.996000,"Picked up SM_Plate_Blueprint8
"
00:08:47.476000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:08:48.609000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:08:48.808000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
00:08:51.143000,"Picked up SM_FD_Apple_Slice_34
"
00:08:52.009000,"Dropped SM_FD_Apple_Slice_34
"
00:08:52.188000,"Placed SM_FD_Apple_Slice_34 onto plate SM_Plate_Blueprint8
"
00:08:53.446000,"Picked up SM_FD_Apple_Slice_8
"
00:08:54.163000,"Placed SM_FD_Apple_Slice_8 onto plate SM_Plate_Blueprint8
"
00:08:54.446000,"Dropped SM_FD_Apple_Slice_8
"
00:08:55.216000,"Picked up SM_FD_Apple_Slice_6
"
00:08:56.184000,"Placed SM_FD_Apple_Slice_6 onto plate SM_Plate_Blueprint8
"
00:08:56.866000,"Dropped SM_FD_Apple_Slice_6
"
00:08:57.651000,"Picked up SM_FD_Strawberry3
"
00:08:58.537000,"Dropped SM_FD_Strawberry3
"
00:08:58.716000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:08:59.450000,"Picked up SM_FD_Strawberry8
"
00:09:00.471000,"Dropped SM_FD_Strawberry8
"
00:09:00.670000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:09:01.382000,"Picked up SM_FD_Strawberry4
"
00:09:02.335000,"Dropped SM_FD_Strawberry4
"
00:09:02.583000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint8
"
00:09:13.707000,"Picked up BP_FD_Chicken_Cajun_C_2147482489
"
00:09:16.217000,"Dropped BP_FD_Chicken_Cajun_C_2147482489
"
00:09:16.462000,"Placed BP_FD_Chicken_Cajun_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:09:18.262000,"Picked up BP_FD_Chicken_Cajun_C_2147482489
"
00:09:19.083000,"Dropped BP_FD_Chicken_Cajun_C_2147482489
"
00:09:19.283000,"Placed BP_FD_Chicken_Cajun_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:09:23.191000,"Picked up BP_FD_Broccoli_Steamed_C_2147482487
"
00:09:36.382000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:09:26.435000,"Dropped BP_FD_Broccoli_Steamed_C_2147482487
"
00:09:26.701000,"Placed BP_FD_Broccoli_Steamed_C_2147482487 onto plate SM_Plate_Blueprint8
"
00:09:50.356000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:09:31.209000,"Dropped SM_Plate_Blueprint8
"
00:10:36.190000,"Picked up BP_FD_SalmonGrilled_C_2147482431
"
00:10:38.257000,"Placed BP_FD_SalmonGrilled_C_2147482431 onto plate SM_Plate_Blueprint8
"
00:10:38.696000,"Dropped BP_FD_SalmonGrilled_C_2147482431
"
00:10:39.231000,"Picked up BP_FD_SalmonGrilled_C_2147482431
"
00:10:42.765000,"Dropped BP_FD_SalmonGrilled_C_2147482431
"
00:10:43.456000,"Placed BP_FD_SalmonGrilled_C_2147482431 onto plate SM_Plate_Blueprint8
"
00:10:46.216000,"Picked up BP_FD_Broccoli_Steamed_C_2147482429
"
00:10:51.295000,"Dropped BP_FD_Broccoli_Steamed_C_2147482429
"
00:10:51.517000,"Placed BP_FD_Broccoli_Steamed_C_2147482429 onto plate SM_Plate_Blueprint8
"
00:10:54.582000,"Picked up BP_FD_Rice_Brown_C_2147482427
"
00:10:59.669000,"Dropped BP_FD_Rice_Brown_C_2147482427
"
00:11:00.166000,"Placed BP_FD_Rice_Brown_C_2147482427 onto plate SM_Plate_Blueprint8
"
00:11:07.596000,"Picked up SM_FD_Strawberry8
"
00:11:08.334000,"Dropped SM_FD_Strawberry8
"
00:11:08.534000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:11:09.399000,"Picked up SM_FD_Strawberry4
"
00:11:10.110000,"Dropped SM_FD_Strawberry4
"
00:11:10.332000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint8
"
00:11:11.065000,"Picked up SM_FD_Strawberry3
"
00:11:12.042000,"Dropped SM_FD_Strawberry3
"
00:11:12.288000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:11:13.154000,"Picked up SM_FD_Strawberry3
"
00:11:13.820000,"Dropped SM_FD_Strawberry3
"
00:11:14.020000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:11:15.419000,"Picked up SM_FD_Strawberry8
"
00:11:16.108000,"Dropped SM_FD_Strawberry8
"
00:11:16.308000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:10:31.216000,"Picked up SM_Plate_Blueprint8
"
00:11:35.455000,"Picked up BP_FD_ChocolatePudding_C_2147482425
"
00:11:38.876000,"Dropped BP_FD_ChocolatePudding_C_2147482425
"
00:11:39.097000,"Placed BP_FD_ChocolatePudding_C_2147482425 onto plate SM_Plate_Blueprint7
"
00:11:40.737000,"Dropped SM_Plate_Blueprint7
"
00:11:40.848000,"Placed SM_RegesterCounter_2 onto plate SM_Plate_Blueprint7
"
00:11:45.313000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:11:58.105000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:11:28.364000,"Dropped SM_Plate_Blueprint8
"
00:11:32.853000,"Picked up SM_Plate_Blueprint7
"
