time,annotation
00:07:00.853000,"Picked up SM_Plate_Blueprint8
"
00:07:06.066000,"Picked up BP_FD_Fries_SweetPotato_C_2147482489
"
00:07:21.992000,"Picked up BP_FD_Rice_Fried_C_2147482487
"
00:07:23.990000,"Dropped BP_FD_Rice_Fried_C_2147482487
"
00:07:24.190000,"Placed BP_FD_Rice_Fried_C_2147482487 onto plate SM_Plate_Blueprint8
"
00:07:26.011000,"Picked up BP_FD_Chicken_Cajun_C_2147482485
"
00:07:28.033000,"Dropped BP_FD_Chicken_Cajun_C_2147482485
"
00:07:28.323000,"Placed BP_FD_Chicken_Cajun_C_2147482485 onto plate SM_Plate_Blueprint8
"
00:07:34.031000,"Dropped SM_Plate_Blueprint8
"
00:07:08.864000,"Dropped BP_FD_Fries_SweetPotato_C_2147482489
"
00:07:09.042000,"Placed BP_FD_Fries_SweetPotato_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:07:41.095000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:08:01.884000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:07.373000,"Picked up SM_FD_Strawberry8
"
00:08:17.548000,"Picked up SM_FD_Strawberry3
"
00:08:18.769000,"Dropped SM_FD_Strawberry3
"
00:08:18.948000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint_2
"
00:08:19.169000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint_2
"
00:08:20.790000,"Picked up SM_FD_Strawberry4
"
00:08:21.789000,"Dropped SM_FD_Strawberry4
"
00:08:21.967000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint_2
"
00:08:22.922000,"Picked up SM_FD_Strawberry8
"
00:08:23.944000,"Dropped SM_FD_Strawberry8
"
00:08:24.123000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint_2
"
00:08:25.032000,"Picked up SM_FD_Strawberry7
"
00:08:08.262000,"Dropped SM_FD_Strawberry8
"
00:08:25.987000,"Dropped SM_FD_Strawberry7
"
00:08:26.209000,"Placed SM_FD_Strawberry7 onto plate SM_Plate_Blueprint_2
"
00:08:27.254000,"Picked up SM_FD_Strawberry2
"
00:08:28.655000,"Dropped SM_FD_Strawberry2
"
00:08:28.830000,"Placed SM_FD_Strawberry2 onto plate SM_Plate_Blueprint_2
"
00:08:29.986000,"Picked up SM_FD_Grapes_14
"
00:08:31.718000,"Dropped SM_FD_Grapes_14
"
00:08:31.941000,"Placed SM_FD_Grapes_14 onto plate SM_Plate_Blueprint_2
"
00:08:33.139000,"Picked up SM_FD_Grapes_15
"
00:08:34.229000,"Dropped SM_FD_Grapes_15
"
00:08:34.584000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint_2
"
00:08:09.040000,"Picked up SM_FD_Strawberry4
"
00:08:35.761000,"Picked up SM_FD_Grapes_01_2
"
00:08:36.783000,"Dropped SM_FD_Grapes_01_2
"
00:08:37.071000,"Placed SM_FD_Grapes_01_2 onto plate SM_Plate_Blueprint_2
"
00:08:40.403000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:08:42.692000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:08:42.894000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint_2
"
00:08:09.595000,"Dropped SM_FD_Strawberry4
"
00:08:46.863000,"Dropped SM_Plate_Blueprint_2
"
00:08:53.392000,"Picked up SM_Plate_Blueprint7
"
00:08:56.973000,"Picked up BP_FD_GreenBeans_C_2147482482
"
00:08:58.729000,"Dropped BP_FD_GreenBeans_C_2147482482
"
00:08:58.906000,"Placed BP_FD_GreenBeans_C_2147482482 onto plate SM_Plate_Blueprint7
"
00:09:02.354000,"Picked up BP_FD_Beef_Braised_C_2147482480
"
00:09:04.688000,"Placed BP_FD_Beef_Braised_C_2147482480 onto plate SM_Plate_Blueprint7
"
00:09:05.243000,"Dropped BP_FD_Beef_Braised_C_2147482480
"
00:08:14.503000,"Picked up SM_Plate_Blueprint_2
"
00:09:09.621000,"Dropped SM_Plate_Blueprint7
"
